cast,certificates,director,genres,image,plot outline,rating,runtime,title,votes,year,id
"['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman']","['Argentina:Atp', 'Australia:G', 'Brazil:Livre', 'Denmark:A', 'Finland:S', 'France:Tous publics', 'Germany:0', 'Iceland:L', 'Italy:T', 'Japan:G', 'New Zealand:G', 'Norway:A::(cinema rating)', 'Poland:12', 'Portugal:M/6', 'South Korea:All', 'Spain:A', 'Sweden:Btl', 'Taiwan:PG-12', 'United Kingdom:U', 'United States:TV-G', 'United States:TV-Y', 'United States:TV-Y7', 'United States:Passed::(National Board of Review)', 'West Germany:6']",['Charles Chaplin'],"['Adventure', 'Comedy', 'Drama', 'Romance', 'Western']",https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.,8.1,['95'],The Gold Rush,115531,1925,1
"['James Robinson', 'Sean Lawlor', 'Sandy Nelson', 'James Cosmo']","['Argentina:16', 'Australia:MA', 'Belgium:KT/EA', 'Brazil:16', 'Canada:18A::(Canadian Home Video rating)', 'Canada:14A::(Manitoba)', 'Canada:14::(Nova Scotia)', 'Canada:R::(Ontario)', 'Canada:13+::(Quebec)', 'Chile:14', 'Czechia:15', 'Denmark:15', 'Egypt:Not Rated::(self-applied)', 'Finland:K-15/13::(Blu-ray rating)', 'Finland:K-16/13::(Blu-ray rating)', 'Finland:K-16::(theatrical and VHS rating)', 'Finland:K-15/13::(DVD rating)', 'France:Tous publics', 'Germany:16::(w)', 'Greece:K-12', 'Hong Kong:IIB', 'Hungary:16', 'Iceland:16', 'India:A', 'Indonesia:21::(self-applied)', 'Ireland:15', 'Israel:17+::(self-applied)', 'Italy:T', 'Japan:G::(self-applied)', 'Malaysia:18SG', 'Mexico:C', 'Netherlands:16', 'New Zealand:R16', 'Nigeria:18', 'Norway:15::(Blu-ray rating)', 'Norway:18::(cinema rating)', 'Peru:14', 'Philippines:R-18', 'Poland:12::(self-applied)', 'Portugal:M/12', 'Russia:16+', 'Saudi Arabia:R15', 'Singapore:PG', 'Singapore:M18', 'South Africa:16', 'South Korea:18::(DVD rating)', 'South Korea:15', 'Spain:18', 'Sweden:15', 'Turkey:13+::(self-applied)', 'United Kingdom:15', 'United States:TV-MA::(IFC rating)', 'United States:R', 'United Arab Emirates:18+::(self-applied)']",['Mel Gibson'],"['Biography', 'Drama', 'History', 'War']",https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.",8.3,['178'],Braveheart,1067226,1995,2
"['Sally Kirkland', 'Anthony Ramirez', 'Gary Taggart', 'Ray LePere']","['Argentina:13', 'Australia:M', 'Brazil:14', 'Canada:14+', 'Canada:PG::(Manitoba)', 'Canada:A::(Nova Scotia)', 'Canada:AA::(Ontario)', 'Canada:13+::(Quebec)', 'Denmark:15::(TV rating)', 'Finland:K-12', 'France:Tous publics', 'Germany:12::(bw)', 'Hong Kong:II', 'Hungary:14', 'Iceland:12', 'India:UA', 'Israel:16::(self-applied)', 'Italy:T', 'Japan:PG-12', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:11', 'Norway:15', 'Peru:14', 'Philippines:R-13', 'Poland:15', 'Portugal:M/12', 'Russia:16+', 'Singapore:PG', 'Singapore:NC-16', 'South Korea:15', 'Spain:13', 'Sweden:11', 'Turkey:15+::(DVD rating)', 'United Kingdom:15', 'United States:TV-14::(LV, TV Rating.)', 'United States:R', 'United States:R', 'United Arab Emirates:18+::(self-applied)']",['Oliver Stone'],"['Drama', 'History', 'Thriller']",https://m.media-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"On November 22, 1963, president John F. Kennedy is assassinated in Dallas. Lee Harvey Oswald is arrested for the crime and subsequently shot by Jack Ruby, supposedly avenging the president's death. An investigation concludes that Lee Harvey Oswald and Jack Ruby acted alone in their respective crimes, but Louisiana district attorney Jim Garrison is skeptical. Assembling a trusted group of people, Garrison conducts his own investigation, bringing about backlash from powerful government and political figures.",8,['189'],JFK,164908,1991,3
"['Luke Wilson', 'Frankie Muniz', 'Kevin Bacon', 'Diane Lane']","['Argentina:Atp', 'Australia:PG', 'Brazil:Livre', 'Canada:G::(Alberta/British Columbia/Quebec)', 'Canada:PG::(Canadian Home Video rating)', 'Canada:PG::(Manitoba/Nova Scotia)', 'Canada:F::(Ontario)', 'Finland:S', 'France:Tous publics', 'Germany:6::(w)', 'India:U', 'Ireland:PG', 'Italy:T', 'Japan:G', 'Netherlands:6', 'New Zealand:PG', 'Peru:Apt', 'Philippines:G', 'Russia:0+', 'Singapore:PG', 'South Korea:All', 'Spain:A', 'Sweden:Btl::(video rating)', 'United Kingdom:U', 'United States:TV-PG::(LV)', 'United States:PG', 'United Arab Emirates:Not Rated']",['Jay Russell'],"['Comedy', 'Drama', 'Family']",https://m.media-amazon.com/images/M/MV5BMTc1NDgxMjg5MV5BMl5BanBnXkFtZTYwNTUxODc5.jpg,"A shy boy named Willie is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a puppy for his ninth birthday. The puppy, which he names Skip, becomes well known and loved throughout the community and enriches Willie's life as he grows into manhood.",7,['95'],My Dog Skip,21064,2000,4
"['Jodie Foster', 'Lawrence A. Bonney', 'Kasi Lemmons', 'Lawrence T. Wrentz']","['Argentina:16', 'Australia:R::(theatrical)', 'Australia:MA15+', 'Australia:M', 'Brazil:14', 'Bulgaria:D', 'Canada:R', 'Canada:14A::(Alberta)', 'Canada:18A::(British Columbia)', 'Canada:R::(Manitoba/Nova Scotia/Ontario)', 'Canada:18+::(Quebec)', 'Canada:18A::(Super Channel airing)', 'Canada:13+::(Quebec)', 'Canada:16+::(Quebec)', 'Denmark:15', 'Ecuador:15::(self-applied)', 'Egypt:R::(self-applied)', 'Finland:K-16', 'Finland:K-16', 'Finland:K-18', 'France:16', 'Germany:16', 'Hong Kong:II', 'Hong Kong:III::(iTunes)', 'Hungary:18', 'Iceland:16', 'India:A', 'Indonesia:D::(TV)', 'Indonesia:17+::(self-applied)', 'Ireland:15', 'Ireland:18', 'Israel:18', 'Italy:T', 'Italy:VM14::(video rating)', 'Japan:R-15', 'Japan:PG12', 'Lithuania:N-16', 'Malaysia:(Banned)', 'Malaysia:18::(new rating)', 'Maldives:18+R', 'Mexico:C', 'Netherlands:16', 'New Zealand:R16', 'Nigeria:15', 'Norway:18', 'Norway:15', 'Peru:18', 'Philippines:R-18', 'Poland:15', 'Portugal:M/16::(Qualidade)', 'Russia:18+::(video rating)', 'Saudi Arabia:R15', 'Singapore:R(A)', 'Singapore:NC-16::(TV rating)', 'Singapore:PG::(video rating)', 'South Africa:18', 'South Korea:15::(theatrical rating)', 'South Korea:18::(video rating)', 'Spain:18::(ICAA)', 'Sweden:15', 'Taiwan:R::(self-applied)', 'Thailand:u 18+::(self-applied)', 'Turkey:18+', 'United Kingdom:15', 'United Kingdom:18', 'United States:TV-14::(DLSV)', 'United States:R', 'United Arab Emirates:15+::(self-applied)']",['Jonathan Demme'],"['Crime', 'Drama', 'Thriller']",https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"F.B.I. trainee Clarice Starling (Jodie Foster) works hard to advance her career, while trying to hide or put behind her West Virginia roots, of which if some knew, would automatically classify her as being backward or white trash. After graduation, she aspires to work in the agency's Behavioral Science Unit under the leadership of Jack Crawford (Scott Glenn). While she is still a trainee, Crawford asks her to question Dr. Hannibal Lecter (Sir Anthony Hopkins), a psychiatrist imprisoned, thus far, for eight years in maximum security isolation for being a serial killer who cannibalized his victims. Clarice is able to figure out the assignment is to pick Lecter's brains to help them solve another serial murder case, that of someone coined by the media as ""Buffalo Bill"" (Ted Levine), who has so far killed five victims, all located in the eastern U.S., all young women, who are slightly overweight (especially around the hips), all who were drowned in natural bodies of water, and all who were stripped of large swaths of skin. She also figures that Crawford chose her, as a woman, to be able to trigger some emotional response from Lecter. After speaking to Lecter for the first time, she realizes that everything with him will be a psychological game, with her often having to read between the very cryptic lines he provides. She has to decide how much she will play along, as his request in return for talking to him is to expose herself emotionally to him. The case takes a more dire turn when a sixth victim is discovered, this one from who they are able to retrieve a key piece of evidence, if Lecter is being forthright as to its meaning. A potential seventh victim is high profile Catherine Martin (Brooke Smith), the daughter of Senator Ruth Martin (Diane Baker), which places greater scrutiny on the case as they search for a hopefully still alive Catherine. Who may factor into what happens is Dr. Frederick Chilton (Anthony Heald), the warden at the prison, an opportunist who sees the higher profile with Catherine, meaning a higher profile for himself if he can insert himself successfully into the proceedings.",8.6,['118'],The Silence of the Lambs,1491120,1991,5
"['John Travolta', 'Olivia Newton-John', 'Stockard Channing', 'Jeff Conaway']","['Argentina:18', 'Argentina:13', 'Australia:PG', 'Australia:NRC', 'Belgium:KT/EA', 'Brazil:12', 'Brazil:10', 'Brazil:Livre', 'Bulgaria:B', 'Canada:PG::(Alberta/Manitoba/Nova Scotia/Ontario)', 'Canada:G::(Quebec)', 'Chile:TE', 'Denmark:A', 'East Germany:(Banned)', 'Ecuador:TP::(self-applied)', 'Finland:K-16', 'Finland:K-12', 'France:Tous publics', 'France:12::(TV rating)', 'Germany:6', 'Germany:12', 'Hong Kong:13+::(self-applied)', 'Hungary:12', 'Iceland:L', 'India:UA', 'India:A', 'Ireland:PG', 'Ireland:PG', 'Israel:14::(self-applied)', 'Italy:T', 'Japan:PG-12', 'Japan:PG12', 'Malaysia:U', 'Mexico:A', 'Mexico:B::(new rating)', 'Netherlands:AL', 'Netherlands:12::(VHS and DVD rating)', 'New Zealand:PG', 'Norway:7::(cinema rating)', 'Norway:12::(cinema rating)', 'Peru:14', 'Philippines:PG-13', 'Poland:12::(self-applied)', 'Russia:12+', 'Saudi Arabia:G', 'Singapore:PG', 'Singapore:PG13::(TV rating)', 'South Africa:PG::(self-applied)', 'South Korea:12', 'Spain:A', 'Spain:12::(streaming)', 'Sweden:7', 'Switzerland:12::(canton of Geneva)', 'Switzerland:12::(canton of Vaud)', 'Taiwan:PG-12', 'Thailand:u 18+::(self-applied)', 'Turkey:13+::(self-applied)', 'United Kingdom:PG', 'United Kingdom:A::(theatrical rating)', 'United Kingdom:PG', 'United States:TV-14::(D)', 'United States:TV-PG::(DVD rating)', 'United States:PG', 'United States:PG-13', 'United Arab Emirates:15+::(self-applied)', 'West Germany:12']",['Randal Kleiser'],"['Comedy', 'Musical', 'Romance']",https://m.media-amazon.com/images/M/MV5BZmUyMDEyOTgtZmUwOS00NTdkLThlNzctNTM1ODQ4M2VhMjdhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"A musical about teens in love in the 1950s. It's California 1958 and greaser Danny Zuko (John Travolta) and Australian Sandy Olsson (Olivia Newton-John) are in love. They spend time at the beach, and when they go back to school, what neither of them knows is that they both now attend Rydell High. Danny's the leader of the T-Birds, a group of black leather jacket-wearing greasers while Sandy hangs with the Pink Ladies, a group of pink-wearing girls led by Rizzo (Stockard Channing). When they clash at Rydell's first pep rally, Danny isn't the same Danny from the beach. They try to be like each other so they can be together.",7.2,['110'],Grease,291108,1978,6
"['Travis Tedford', 'Kevin Jamal Woods', 'Jordan Warkol', 'Zachary Mabry']","['Argentina:Atp', 'Australia:G', 'Brazil:Livre', 'Canada:G::(British Columbia/Manitoba/Nova Scotia/Quebec)', 'Canada:F::(Ontario)', 'Chile:TE', 'Czechia:U', 'Denmark:A', 'Ecuador:TP::(self-applied)', 'Finland:S', 'France:Tous publics', 'Germany:0', 'Greece:K', 'Hong Kong:I', 'Iceland:L', 'India:U', 'Israel:ALL::(self-applied)', 'Italy:T', 'Japan:G', 'Lithuania:V', 'Malaysia:U', 'Mexico:A', 'Netherlands:AL', 'New Zealand:G', 'Nigeria:G', 'Norway:A::(Netflix self-rating)', 'Portugal:M/6', 'Saudi Arabia:G', 'Singapore:PG', 'South Korea:All', 'Spain:T', 'Sweden:Btl', 'Turkey:7+::(self-applied)', 'United Kingdom:U', 'United States:PG']",['Penelope Spheeris'],"['Comedy', 'Family', 'Romance']",https://m.media-amazon.com/images/M/MV5BM2JlNzMzM2MtY2M0Mi00ZjcxLWFkOTYtYzk1ZTY4MDA2NjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,"The story begins with Spanky, president of the ""He-Man Woman Haters Club"", with many school-aged boys from around the neighborhood as members. His best friend, Alfalfa, has been chosen as the driver for the club's prize-winning go-kart, ""The Blur"", in the annual go-kart race. However, when the announcement is made, Alfalfa is nowhere to be found. The members catch him in the company of Darla--""a girl!"" He isn't like his friends because he's in love with her, and unfortunately threatens the very existence of their ""boys only"" club. The members try their hardest to break them apart, eventually causing their beloved clubhouse to burn down. Darla is mistakenly led to believe that Alfalfa feels ashamed of her, so she turns her attentions to Waldo, the new rich kid whose father is an oil tycoon. Further trouble ensures when ""The Blur"" is stolen by local neighborhood bullies, Butch and Woim. How can they win the big race and its prize trophy?. In addition to having to rebuild the clubhouse, the members now need a new set of wheels. They band together to build ""Blur 2: The Sequel."" Prior to race day, Spanky and Alfalfa reconcile and decide to ride in the go-kart together.",6.3,['82'],The Little Rascals,53869,1994,7
"['Don Ameche', 'Wilford Brimley', 'Hume Cronyn', 'Brian Dennehy']","['Argentina:Atp', 'Australia:PG', 'Brazil:Livre', 'Canada:PG::(Canadian Home Video rating)', 'Canada:A::(Nova Scotia)', 'Canada:G::(Québec)', 'Denmark:7', 'Finland:S', 'France:Tous publics', 'Germany:6', 'Iceland:L', 'India:U', 'Ireland:15', 'Italy:T', 'Japan:G', 'Malaysia:U', 'Netherlands:AL', 'New Zealand:PG', 'Norway:11::(DVD rating)', 'Norway:12::(cinema rating)', 'Peru:Apt', 'Poland:12::(TV rating)', 'Portugal:M/6', 'Singapore:PG', 'South Africa:A', 'South Korea:All', 'South Korea:15::(DVD)', 'South Korea:18::(VHS)', 'Spain:A', 'Sweden:11', 'United Kingdom:12::(Blu-ray)', 'United Kingdom:PG::(theatrical)', 'United States:TV-MA::(LV)', 'United States:PG-13', 'United Arab Emirates:Not Rated', 'West Germany:6']",['Ron Howard'],"['Comedy', 'Drama', 'Sci-Fi']",https://m.media-amazon.com/images/M/MV5BYzFiMWRiZTItMjViNy00ZjUzLTg1MTMtNTU4OGRlNzA2MTc2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"A group of aliens return to earth to retrieve cocoons containing the people they'd left behind from an earlier trip. These cocoons had been resting at the bottom of the ocean. Once retrieved, they stored these recovered cocoons in the swimming pool of a house they'd rented in a small Florida town. Their mission is hampered by a number of elderly people from a nearby retirement community who had been secretly using the pool, and who discover unusual powers from within these cocoons.",6.7,['117'],Cocoon,66767,1985,8
"['Tom Hanks', 'Rebecca Williams', 'Sally Field', 'Michael Conner Humphreys']","['Argentina:13', 'Australia:M', 'Brazil:14', 'Canada:PG::(British Columbia/Manitoba/Nova Scotia/Ontario)', 'Canada:G::(Quebec)', 'Canada:PG::(Alberta)', 'Denmark:7', 'Ecuador:12::(self-applied)', 'Ecuador:7+::(self-applied)', 'Egypt:Not Rated::(self-applied)', 'Finland:K-14', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Germany:6::(video rating)', 'Greece:K-12', 'Hong Kong:16+::(self-applied)', 'Hungary:12', 'Iceland:L', 'India:UA', 'Indonesia:21::(self-applied)', 'Ireland:15', 'Ireland:12', 'Israel:PG', 'Italy:T', 'Japan:PG12', 'Malaysia:P13', 'Mexico:13', 'Netherlands:12', 'New Zealand:M', 'Nigeria:PG', 'Norway:11', 'Norway:12::(TV rating)', 'Peru:14', 'Philippines:PG-13', 'Poland:15', 'Portugal:M/12::(Qualidade)', 'Russia:0+', 'Saudi Arabia:PG', 'Singapore:PG', 'Singapore:NC-16::(TV rating)', 'Singapore:PG13', 'South Africa:PG::(self-applied)', 'South Korea:12', 'South Korea:15::(DVD rating)', 'Spain:A', 'Sweden:11', 'Taiwan:7+::(self-applied)', 'Thailand:u 13+::(self-applied)', 'Turkey:7+::(DVD Rating)', 'United Kingdom:12', 'United Kingdom:12A', 'United States:TV-PG', 'United States:PG-13', 'Ukraine:ZA', 'United Arab Emirates:15+::(self-applied)']",['Robert Zemeckis'],"['Drama', 'Romance']",https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",8.8,['142'],Forrest Gump,2174715,1994,9
"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell', 'Buzz Kilman']","['Argentina:13', 'Australia:PG', 'Australia:M', 'Brazil:12', 'Canada:PG', 'Canada:G::(Quebec)', 'Denmark:A', 'Ecuador:12::(self-applied)', 'Egypt:R::(self-applied)', 'Finland:K-12', 'Finland:S', 'France:Tous publics', 'Germany:12::(bw)', 'Greece:K-12', 'Hong Kong:II', 'Iceland:L', 'India:UA', 'Ireland:PG', 'Ireland:15', 'Israel:18::(self-applied)', 'Italy:T', 'Japan:G', 'Malaysia:U', 'Mexico:C', 'Netherlands:AL', 'New Zealand:PG', 'Norway:10', 'Peru:14', 'Philippines:PG::(self-applied)', 'Poland:12::(self-applied)', 'Portugal:M/12::(Qualidade)', 'Russia:16+', 'Singapore:NC-16', 'South Africa:PG', 'South Africa:13::(L, P)', 'South Korea:12', 'South Korea:15', 'Spain:13', 'Sweden:11', 'Turkey:15+::(DVD rating)', 'United Kingdom:12', 'United Kingdom:15::(video)', 'United States:TV-14::(DL, TV Rating.)', 'United States:PG-13', 'United Arab Emirates:18+::(self-applied)']",['Jonathan Demme'],['Drama'],https://m.media-amazon.com/images/M/MV5BNDE0MWE1ZTMtOWFkMS00YjdiLTkwZTItMDljYjY3MjM0NTk5XkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg,"Fearing it would compromise his career, lawyer Andrew Beckett hides his homosexuality and HIV status at a powerful Philadelphia law firm. But his secret is exposed when a colleague spots the illness's telltale lesions. Fired shortly afterwards, Beckett resolves to sue for discrimination, teaming up with Joe Miller (Denzel Washington), the only lawyer willing to help. In court, they face one of his ex-employers top litigators, Belinda Conine.",7.7,['125'],Philadelphia,251901,1993,10
